release date,title,production budget,domestic budget,worldwide gross,domestic gross,negative,positive
12-Sep-14,No Good Deed,"$13,200,000","$52,543,632","$54,323,210","$52,543,632",3,8
12-Sep-14,The Drop,"$12,600,000","$10,724,389","$19,054,534","$10,724,389",27,42
12-Sep-14,Atlas Shrugged: Who Is John Galt?,"$5,000,000","$851,690","$851,690","$846,704",14,17
12-Sep-14,The Skeleton Twins,"$1,000,000","$5,284,309","$5,797,192","$5,284,309",14,17
12-Sep-14,Faith Connections,"$550,000","$9,111","$9,111","$9,111",1,6
19-Sep-14,The Boxtrolls,"$60,000,000","$50,837,305","$111,898,741","$50,837,305",4,0
19-Sep-14,A Walk Among the Tombstones,"$28,000,000","$26,017,685","$62,108,587","$26,307,600",32,25
19-Sep-14,This is Where I Leave You,"$20,000,000","$34,296,320","$41,296,320",$0,10,14
19-Sep-14,Pump,"$2,000,000","$89,787","$89,787","$89,787",8,4
26-Sep-14,The Equalizer,"$55,000,000","$101,530,738","$192,903,624","$101,530,738",1,3
26-Sep-14,Jimi: All is By My Side,"$5,000,000","$340,911","$927,074",$0,15,12
26-Sep-14,Two Night Stand,"$1,600,000","$15,600","$868,081","$18,612",3,2
1-Oct-14,Dracula Untold,"$70,000,000","$55,991,880","$220,241,723","$56,280,355",7,8
1-Oct-14,"Men, Women and Children","$16,000,000","$705,908","$1,685,403",$0,3,2
2-Oct-14,Gone Girl,"$61,000,000","$167,767,189","$367,160,781","$167,767,189",29,30
3-Oct-14,Left Behind,"$16,000,000","$14,019,924","$20,769,209","$14,019,924",75,57
10-Oct-14,The Judge,"$50,000,000","$47,119,388","$76,073,556","$47,119,388",35,58
10-Oct-14,St. Vincent,"$13,000,000","$44,137,712","$54,837,234","$44,137,712",0,1
10-Oct-14,Addicted,"$5,000,000","$17,390,770","$17,499,242","$17,390,770",3,1
10-Oct-14,Kill the Messenger,"$5,000,000","$2,450,846","$6,656,705","$2,450,846",32,39
10-Oct-14,Whiplash,"$3,300,000","$13,092,006","$39,248,707","$13,092,000",4,20
10-Oct-14,Meet the Mormons,"$2,000,000","$6,047,363","$6,049,171","$6,047,363",37,34
10-Oct-14,"Christian Mingle, The Movie","$650,000","$19,836","$28,176",$0,7,1
17-Oct-14,The Book of Life,"$50,000,000","$50,151,543","$97,651,543","$50,151,543",12,6
17-Oct-14,The Best of Me,"$26,000,000","$26,766,213","$41,059,418","$26,766,213",6,7
17-Oct-14,Birdman or (The Unexpected Virtue of Ignorance),"$18,000,000","$42,340,598","$102,926,247","$42,340,598",13,22
17-Oct-14,Rudderless,"$5,000,000","$56,001","$584,499","$58,293",2,2
17-Oct-14,Housebound,"$1,500,000",$0,"$236,863",$0,0,2
17-Oct-14,Dear White People,"$1,250,000","$4,404,154","$5,403,771","$4,404,154",4,0
17-Oct-14,Camp X-Ray,"$1,000,000","$9,837","$101,053","$13,302",31,33
24-Oct-14,John Wick,"$30,000,000","$43,037,835","$87,790,603","$43,037,835",7,12
24-Oct-14,Ouija,"$5,000,000","$50,856,010","$103,300,632","$50,856,010",2,4
24-Oct-14,Revenge of the Green Dragons,"$5,000,000","$2,500","$213,164",$0,39,43
24-Oct-14,23 Blast,"$1,000,000","$549,185","$549,185","$549,185",7,7
25-Oct-14,Big Hero 6,"$165,000,000","$222,527,828","$647,263,005","$222,527,828",4,0
31-Oct-14,Before I Go to Sleep,"$22,000,000","$3,242,457","$19,563,579","$3,242,457",20,56
31-Oct-14,Mr. Turner,"$14,000,000","$3,958,546","$25,187,026","$3,958,500",2,3
7-Nov-14,Elsa & Fred,"$10,000,000","$67,657","$197,901","$285,863",12,32
7-Nov-14,Jessabelle,"$10,000,000",$0,"$6,998,359",$0,0,1
13-Nov-14,Dumb and Dumber To,"$40,000,000","$86,208,010","$156,553,592","$86,208,010",129,118
13-Nov-14,Mommy,"$4,900,000","$3,498,695","$17,536,004","$3,494,070",5,2
14-Nov-14,Foxcatcher,"$24,000,000","$12,096,300","$19,303,058","$12,096,300",72,85
14-Nov-14,Wolves,"$18,000,000",$0,"$94,953","$12,139",57,21
14-Nov-14,The Imitation Game,"$15,000,000","$91,125,143","$227,328,585","$91,125,683",13,31
14-Nov-14,Rosewater,"$10,000,000","$3,128,941","$3,185,717","$3,128,941",1,3
14-Nov-14,Beyond the Lights,"$7,000,000","$14,618,727","$14,618,727","$14,618,727",11,7
19-Nov-14,The Hunger Games: Mockingjay - Part 1,"$125,000,000","$337,135,885","$766,575,131","$337,135,885",58,33
21-Nov-14,The Sleepwalker (2014),"$1,100,000","$2,636","$53,240",$0,1,1
21-Nov-14,Food Chains,"$913,000",$0,$176,$0,2,0
26-Nov-14,Penguins of Madagascar,"$132,000,000","$83,350,911","$366,942,531","$83,850,911",4,0
26-Nov-14,Horrible Bosses 2,"$40,000,000","$54,445,357","$105,945,357","$54,445,357",25,29
28-Nov-14,Paddington,"$55,000,000","$76,223,578","$252,410,984","$76,271,832",1,0
28-Nov-14,Antarctica: A Year on Ice,"$1,000,000","$288,757","$288,757","$288,757",18,36
2-Dec-14,Speak No Evil,"$150,000",$0,"$247,345",$0,4,7
5-Dec-14,Exodus: Gods and Kings,"$140,000,000","$65,014,513","$268,314,513","$65,014,513",8,6
5-Dec-14,Dying of the Light,"$5,000,000",$0,"$74,639",$0,6,0
10-Dec-14,The Hobbit: The Battle of the Five Armies,"$250,000,000","$255,119,788","$940,323,039","$255,138,261",5,2
10-Dec-14,The Gambler,"$25,000,000","$33,680,992","$38,718,031","$33,680,992",27,32
11-Dec-14,Timbuktu,"$2,500,000","$1,076,075","$6,815,821","$1,076,075",3,5
12-Dec-14,Inherent Vice,"$20,000,000","$8,110,975","$14,740,343","$8,110,975",15,34
12-Dec-14,Top Five,"$12,000,000","$25,317,379","$26,001,741","$25,317,471",25,29
12-Dec-14,Miss Julie,"$5,500,000",$0,"$863,895",$0,45,30
18-Dec-14,Night at the Museum: Secret of the Tomb,"$127,000,000","$113,746,621","$353,756,621","$113,746,621",2,3
18-Dec-14,Annie,"$65,000,000","$85,911,262","$139,829,625","$57,059,003",26,24
19-Dec-14,Seventh Son,"$95,000,000","$17,725,785","$108,874,967","$17,223,265",50,45
25-Dec-14,Unbroken,"$65,000,000","$115,637,895","$163,527,824","$115,637,895",28,42
25-Dec-14,American Sniper,"$58,000,000","$350,126,372","$547,326,372","$350,159,020",1,0
25-Dec-14,Into the Woods,"$56,200,000","$128,002,372","$212,416,317","$128,002,372",2,1
26-Dec-14,The Water Diviner,"$22,500,000","$4,200,117","$31,054,727","$4,196,641",0,3
31-Dec-14,A Most Violent Year,"$20,000,000","$5,749,134","$8,869,722","$5,749,134",11,18
2-Jan-15,Babysitting,"$3,400,000",$0,"$24,564,100",$0,29,11
9-Jan-15,Selma,"$20,000,000","$52,076,908","$66,670,998","$52,076,908",1,12
9-Jan-15,Black November,"$7,500,000","$5,782","$38,354","$5,782",5,3
16-Jan-15,Blackhat,"$70,000,000","$8,005,980","$19,665,004","$8,005,980",82,41
16-Jan-15,Wild Card,"$30,000,000","$3,200","$4,315,789",$0,2,4
16-Jan-15,Escobar: Paradise Lost,"$17,000,000","$195,792","$3,917,679","$195,792",40,40
16-Jan-15,Testament of Youth,"$10,000,000","$1,822,250","$6,646,669","$1,822,250",17,47
16-Jan-15,Loin des hommes,"$7,700,000","$5,336","$1,136,918",$0,10,8
16-Jan-15,Still Alice,"$5,000,000","$18,656,400","$41,598,366","$18,754,371",0,3
20-Jan-15,The Opposite Sex,"$3,300,000",$0,"$84,369",$0,3,2
21-Jan-15,Mortdecai,"$60,000,000","$7,696,134","$37,360,909","$7,696,134",25,36
21-Jan-15,Ex Machina,"$13,000,000","$25,440,971","$38,261,299","$25,442,958",45,33
23-Jan-15,Song One,"$6,000,000","$32,251","$437,089","$32,251",11,21
23-Jan-15,R100,"$5,500,000","$24,956","$24,956","$24,956",4,0
28-Jan-15,The SpongeBob Movie: Sponge Out of Water,"$74,000,000","$162,994,032","$311,013,181","$162,994,032",4,0
29-Jan-15,Kingsman: The Secret Service,"$94,000,000","$128,261,724","$404,561,724","$128,261,724",14,13
30-Jan-15,Project Almanac,"$12,000,000","$22,348,241","$32,909,437","$22,348,241",29,25
30-Jan-15,Black or White,"$9,000,000","$21,571,189","$21,971,021","$21,571,189",12,10
30-Jan-15,Trudno byt bogom,"$7,000,000","$31,443","$41,038",$0,0,1
30-Jan-15,Above and Beyond,"$1,300,000","$288,751","$288,751",$0,1,2
6-Feb-15,Jupiter Ascending,"$179,000,000","$47,482,519","$181,982,519","$47,387,723",33,15
6-Feb-15,Shaun the Sheep,"$25,000,000","$19,375,982","$101,850,986",$0,4,0
6-Feb-15,"Mune, le gardien de la lune","$17,000,000",$0,"$14,534,046",$0,1,0
6-Feb-15,It Follows,"$2,000,000","$14,674,077","$23,236,296","$14,674,076",9,8
11-Feb-15,Fifty Shades of Grey,"$40,000,000","$166,167,230","$570,794,950","$166,167,230",6,3
13-Feb-15,The Last Five Years,"$2,000,000","$147,299","$205,298","$145,427",6,11
19-Feb-15,The Gunman,"$40,000,000","$10,664,749","$24,478,613","$10,664,749",6,13
20-Feb-15,"McFarland, USA","$17,000,000","$44,480,275","$45,707,924","$44,482,410",2,6
20-Feb-15,Hot Tub Time Machine 2,"$14,000,000","$12,314,651","$12,826,644","$12,314,651",46,36
20-Feb-15,The DUFF,"$8,500,000","$34,030,343","$43,528,634","$34,030,343",28,31
21-Feb-15,Trash,"$12,000,000","$17,484","$6,553,186","$17,484",25,29
26-Feb-15,Focus,"$65,000,000","$53,862,963","$168,065,700","$53,862,963",38,29
26-Feb-15,The Second Best Exotic Marigold Hotel,"$10,000,000","$33,078,266","$89,400,862","$33,078,266",6,15
26-Feb-15,The Lazarus Effect,"$5,000,000","$25,801,570","$38,359,310","$25,801,570",30,17
5-Mar-15,Unfinished Business,"$35,000,000","$10,219,501","$13,214,051","$10,219,501",35,31
6-Mar-15,Cinderella,"$95,000,000","$201,151,353","$542,351,353","$201,151,353",2,0
6-Mar-15,Road Hard,"$1,500,000","$113,169","$113,169","$113,169",25,46
11-Mar-15,Run All Night,"$50,000,000","$26,461,644","$71,561,644","$26,461,644",41,44
13-Mar-15,The Lovers,"$35,000,000",$0,"$53,899",$0,11,14
13-Mar-15,Hross i oss,"$10,000,000","$11,894","$11,894",$0,2,3
15-Mar-15,Robot Overlords,"$21,000,000",$0,"$991,329",$0,15,7
17-Mar-15,Accidental Love,"$26,000,000",$0,"$135,436",$0,2,0
18-Mar-15,The Divergent Series: Insurgent,"$110,000,000","$130,179,072","$295,075,882","$130,179,072",100,48
19-Mar-15,Home,"$130,000,000","$177,397,510","$385,997,896","$177,397,510",3,0
19-Mar-15,Demonic,"$3,000,000",$0,"$4,668,109",$0,0,1
20-Mar-15,Danny Collins,"$10,000,000","$5,637,066","$9,271,825","$5,637,066",0,3
20-Mar-15,Do You Believe?,"$2,300,000","$12,985,600","$14,628,921","$12,985,600",2,6
20-Mar-15,The Walking Deceased,"$2,000,000",$0,$43,$0,7,3
26-Mar-15,Get Hard,"$40,000,000","$90,411,453","$111,711,453","$90,411,453",48,43
27-Mar-15,While We're Young,"$10,000,000","$7,582,065","$17,503,828","$7,587,485",42,49
1-Apr-15,Furious 7,"$190,000,000","$353,007,020","$1,511,986,364","$353,007,020",27,19
1-Apr-15,Woman in Gold,"$11,000,000","$33,307,793","$58,586,407","$33,307,793",12,20
6-Apr-15,Beyond the Mask,"$4,000,000","$1,236,094","$1,236,094","$1,236,094",5,18
7-Apr-15,Lost River,"$2,000,000","$45,431","$2,009,644","$45,431",1,0
9-Apr-15,The Longest Ride,"$34,000,000","$37,446,117","$63,802,928","$37,446,117",28,35
10-Apr-15,Dragon Nest Warriors' Dawn,"$40,000,000",$0,"$734,423",$0,3,3
10-Apr-15,Paul Blart: Mall Cop 2,"$38,000,000","$71,091,594","$107,453,907","$71,038,190",9,9
10-Apr-15,Broken Horses,"$15,000,000",$0,"$3,471",$0,4,5
10-Apr-15,The Sisterhood of Night,"$1,000,000","$6,870","$6,870","$6,870",1,0
16-Apr-15,The Age of Adaline,"$30,000,000","$42,629,776","$68,984,536","$42,629,776",31,33
17-Apr-15,Child 44,"$50,000,000","$1,224,330","$8,004,221","$1,224,330",11,23
24-Apr-15,Yi ge ren de wu lin,"$25,000,000","$129,115","$129,115",$0,4,4
24-Apr-15,Little Boy,"$20,000,000","$6,485,961","$17,769,299","$6,485,961",12,23
1-May-15,Far from the Madding Crowd,"$15,495,600","$12,236,500","$29,721,410","$12,236,500",4,10
7-May-15,Pitch Perfect 2,"$29,000,000","$184,296,230","$287,215,196","$184,296,230",24,18
8-May-15,Hot Pursuit,"$35,000,000","$34,580,201","$50,732,472","$34,580,201",54,61
8-May-15,Skin Trade,"$9,000,000","$1,242","$1,242","$1,242",8,6
8-May-15,Maggie,"$4,500,000","$187,112","$1,027,760","$187,112",0,3
8-May-15,The D Train,"$3,000,000","$669,688","$816,494","$673,151",7,5
15-May-15,Area 51,"$5,000,000","$7,556","$7,556","$7,556",20,6
15-May-15,Slow West,"$3,750,000","$229,094","$2,089,072","$229,094",1,7
15-May-15,Childless,"$1,000,000","$1,036","$1,036","$1,036",1,5
20-May-15,Tomorrowland,"$170,000,000","$93,436,322","$206,627,518","$93,436,322",1,0
20-May-15,Poltergeist,"$35,000,000","$47,425,125","$95,691,732","$77,177,301",12,5
21-May-15,Spy!,"$65,000,000","$110,825,712","$233,844,106",$0,52,48
22-May-15,Youth,"$13,000,000","$2,703,296","$24,001,573","$2,703,296",3,7
27-May-15,Aloha,"$37,000,000","$21,052,030","$25,387,091","$21,067,116",30,28
29-May-15,Survivor,"$20,000,000",$0,"$1,703,281",$0,4,9
3-Jun-15,Entourage,"$30,000,000","$32,363,404","$46,438,538",$0,50,50
4-Jun-15,Insidious Chapter 3,"$10,000,000","$52,218,558","$120,453,155",$0,34,14
4-Jun-15,Que Horas Ela Volta?,"$1,200,000","$376,976","$3,249,041",$0,3,1
5-Jun-15,Manglehorn,"$4,000,000","$132,270","$797,439","$143,101",13,32
8-Jun-15,Self/Less,"$26,000,000","$12,279,691","$33,667,319",$0,0,1
9-Jun-15,Jurassic World,"$215,000,000","$652,306,625","$1,669,963,641","$653,406,625",33,34
11-Jun-15,Strangerland,"$10,000,000","$17,472","$161,097","$17,472",9,12
12-Jun-15,Inside Out,"$175,000,000","$356,461,711","$850,566,343","$356,921,711",2,0
12-Jun-15,Me and Earl and the Dying Girl,"$8,000,000","$6,758,416","$9,266,180","$6,758,416",1,0
17-Jun-15,Minions,"$74,000,000","$336,045,770","$1,157,271,759","$336,045,770",4,0
19-Jun-15,Dope,"$7,000,000","$17,506,470","$18,190,831","$17,506,470",27,13
19-Jun-15,Mustang,"$1,400,000","$845,464","$5,552,584","$845,464",1,0
24-Jun-15,Terminator: Genisys,"$155,000,000","$89,760,956","$432,150,894",$0,43,30
25-Jun-15,Ted 2,"$68,000,000","$81,476,385","$217,214,143","$81,476,385",58,49
25-Jun-15,Max,"$20,000,000","$42,656,255","$43,658,157","$42,656,255",50,53
26-Jun-15,Knock Knock,"$2,000,000","$36,336","$6,328,516","$36,336",59,28
30-Jun-15,Viy,"$26,000,000",$0,"$34,246,770",$0,13,6
1-Jul-15,Magic Mike XXL,"$14,500,000","$66,013,057","$123,580,421","$66,013,057",3,5
3-Jul-15,Kirikou Et Les Hommes Et Les Femmes,"$7,500,000",$0,$17,$0,2,0
9-Jul-15,Baahubali: The Beginning,"$40,000,000","$6,738,000","$26,736,665","$6,738,000",8,21
9-Jul-15,The Young and Prodigious T.S. Spivet,"$33,000,000","$176,847","$357,687","$173,564",8,19
9-Jul-15,Paper Towns,"$12,000,000","$32,000,304","$85,450,484","$32,000,304",28,45
9-Jul-15,The Gallows,"$100,000","$22,764,410","$41,656,474","$22,764,410",4,1
16-Jul-15,Pixels,"$90,000,000","$78,765,986","$244,041,804","$78,747,585",61,34
16-Jul-15,Bajrangi Bhaijaan,"$13,000,000","$8,178,001","$121,778,347","$8,178,001",8,19
17-Jul-15,Trainwreck,"$35,000,000","$110,212,700","$141,123,897","$110,212,700",12,19
17-Jul-15,Exeter,"$25,000",$0,"$489,792",$0,8,2
22-Jul-15,Southpaw,"$30,000,000","$52,421,953","$94,156,456","$52,421,953",31,55
23-Jul-15,The Vatican Tapes,"$13,000,000","$1,784,763","$14,929,184","$1,784,763",2,4
24-Jul-15,Best of Enemies,"$750,000","$892,802","$940,936",$0,5,5
29-Jul-15,The Little Prince,"$77,500,000","$1,311,213","$102,027,275","$1,339,152",1,0
29-Jul-15,Vacation,"$31,000,000","$58,884,188","$102,306,500","$58,884,188",0,1
31-Jul-15,Beyond the Brick: A LEGO Brickumentary,"$1,000,000","$101,531","$101,531",$0,1,6
31-Jul-15,Destiny,"$750,000",$0,$450,$0,13,8
31-Jul-15,Counting,"$50,000","$8,374","$8,374","$8,374",1,0
5-Aug-15,The Fantastic Four,"$120,000,000","$56,117,548","$167,849,187",$0,2,2
6-Aug-15,The 33,"$25,000,000","$12,227,722","$28,287,489","$12,227,722",6,3
6-Aug-15,The Gift,"$5,000,000","$43,787,265","$58,978,477","$43,787,265",35,13
7-Aug-15,Ricki and the Flash,"$18,000,000","$26,839,498","$41,166,033","$26,822,144",29,33
7-Aug-15,Kahlil Gibran's The Prophet,"$12,000,000","$340,536","$1,080,362","$725,489",7,21
7-Aug-15,Cop Car,"$5,000,000","$134,552","$143,658","$134,552",27,14
7-Aug-15,The Diary of a Teenage Girl,"$2,000,000","$1,477,002","$2,279,959","$1,477,002",18,19
12-Aug-15,The Man From U.N.C.L.E.,"$75,000,000","$45,445,109","$108,517,735",$0,37,26
13-Aug-15,Brothers,"$13,000,000","$656,688","$17,856,688","$28,544,157",10,42
13-Aug-15,A Walk in the Woods,"$8,000,000","$29,499,394","$37,119,358","$29,504,281",1,4
13-Aug-15,El Clan,"$5,500,000","$201,227","$22,125,102",$0,1,2
14-Aug-15,Straight Outta Compton,"$28,000,000","$161,197,785","$202,182,981","$161,197,785",8,15
14-Aug-15,Vaalu,"$1,900,000",$0,"$12,444",$0,30,16
17-Aug-15,Everest,"$65,000,000","$43,482,270","$221,297,061","$43,482,270",8,6
19-Aug-15,Hitman: Agent 47,"$35,000,000","$22,467,450","$82,182,803","$22,467,450",25,5
19-Aug-15,American Ultra,"$28,000,000","$14,439,985","$30,295,028","$14,440,985",41,55
19-Aug-15,Sinister 2,"$10,000,000","$27,740,955","$54,104,225","$27,740,955",54,36
21-Aug-15,Top Spin,"$150,000","$5,858","$5,858","$5,858",53,36
26-Aug-15,No Escape,"$5,000,000","$27,288,872","$42,844,516","$27,288,872",2,0
26-Aug-15,We Are Your Friends,"$2,000,000","$3,591,417","$10,153,415","$3,591,417",12,12
27-Aug-15,War Room,"$3,000,000","$67,790,117","$73,989,734","$67,790,117",10,25
28-Aug-15,Windsor Drive,"$850,000","$3,256","$3,256","$3,256",0,2
2-Sep-15,The Transporter Refueled,"$22,000,000","$16,029,670","$69,698,495","$16,029,670",32,13
3-Sep-15,Queen of the Desert,"$36,000,000",$0,"$1,578,543",$0,2,3
4-Sep-15,Before We Go,"$3,000,000","$37,151","$483,938","$37,151",0,2
9-Sep-15,Maze Runner: The Scorch Trials,"$61,000,000","$81,697,192","$310,566,162","$81,697,192",43,28
9-Sep-15,The Perfect Guy,"$18,000,000","$57,027,435","$60,278,166","$57,027,435",5,11
10-Sep-15,The Visit,"$5,000,000","$65,206,105","$98,677,816","$65,206,105",16,6
11-Sep-15,Legend,"$25,000,000","$1,872,994","$42,280,444","$1,872,994",32,43
17-Sep-15,Black Mass,"$53,000,000","$62,575,678","$98,837,872","$62,575,678",29,22
17-Sep-15,Sicario,"$30,000,000","$46,889,293","$84,264,182","$46,889,293",20,18
17-Sep-15,Oddball,"$7,000,000",$0,"$10,338,919",$0,1,0
17-Sep-15,Captive,"$2,000,000","$2,583,301","$2,791,973","$2,583,301",2,6
18-Sep-15,La navaja de Don Juan,"$1,200,000","$4,254","$4,254",$0,9,4
23-Sep-15,Hotel Transylvania 2,"$80,000,000","$169,700,110","$474,800,000","$169,700,110",28,18
24-Sep-15,The Intern,"$40,000,000","$75,764,672","$197,115,710","$75,764,672",18,18
24-Sep-15,The Green Inferno,"$1,000,000","$7,192,291","$12,931,420","$7,192,291",2,1
25-Sep-15,Pan,"$150,000,000","$35,088,320","$151,525,973","$35,088,320",4,3
25-Sep-15,Mississippi Grind,"$7,100,000","$130,541","$448,641","$130,541",3,3
25-Sep-15,Julija in alfa Romeo,"$560,000",$0,"$8,462",$0,1,0
28-Sep-15,"Me, You and Five Bucks","$1,500,000","$2,105","$2,105",$0,1,0
30-Sep-15,The Martian,"$108,000,000","$228,433,663","$653,609,107","$228,433,663",15,9
30-Sep-15,The Walk,"$35,000,000","$10,161,183","$61,492,104","$10,137,502",5,5
1-Oct-15,Regression,"$20,000,000","$55,039","$15,824,374","$55,039",50,40
2-Oct-15,Freeheld,"$7,000,000","$546,201","$1,732,228","$546,201",22,31
9-Oct-15,Steve Jobs,"$30,000,000","$17,766,658","$35,579,007","$17,766,658",40,50
14-Oct-15,Goosebumps,"$58,000,000","$80,069,458","$158,952,243","$80,080,379",56,45
14-Oct-15,Crimson Peak,"$55,000,000","$31,090,320","$74,966,854","$31,090,320",23,38
14-Oct-15,Bridge of Spies,"$40,000,000","$72,313,754","$162,498,338","$72,313,754",67,114
16-Oct-15,Room,"$13,000,000","$14,677,674","$36,316,727","$14,677,654",1,0
16-Oct-15,Woodlawn,"$13,000,000","$14,394,097","$14,403,891","$14,394,097",4,7
16-Oct-15,Truth,"$9,600,000","$2,541,854","$6,842,580","$2,541,854",36,20
16-Oct-15,Beasts of No Nation,"$6,000,000","$90,777","$90,777","$90,777",4,3
21-Oct-15,The Last Witch Hunter,"$80,000,000","$27,367,660","$130,818,912","$27,367,660",17,15
21-Oct-15,Paranormal Activity: The Ghost Dimension,"$10,000,000","$18,297,124","$77,959,374","$18,300,124",73,28
22-Oct-15,Burnt,"$20,000,000","$13,651,946","$36,766,293","$13,651,946",60,59
22-Oct-15,Jem and the Holograms,"$5,000,000","$2,184,640","$2,368,937","$2,184,640",67,20
23-Oct-15,Rock the Kasbah,"$15,000,000","$3,020,665","$3,386,153","$3,020,664",43,37
23-Oct-15,Bone Tomahawk,"$2,000,000",$0,"$475,846",$0,1,0
23-Oct-15,I Smile Back,"$400,000","$58,738","$63,373","$58,738",8,27
23-Oct-15,The Looking Glass,"$300,000","$1,711","$1,711","$1,711",2,0
23-Oct-15,Lumea e a mea,"$168,000",$0,"$29,678",$0,5,0
29-Oct-15,Scouts Guide to the Zombie Apocalypse,"$15,000,000","$3,703,046","$15,554,855","$3,703,046",5,2
30-Oct-15,Freaks of Nature,"$33,000,000","$70,958","$70,958","$70,958",56,30
30-Oct-15,Our Brand is Crisis,"$28,000,000","$7,002,261","$8,594,558",$0,0,1
30-Oct-15,"Don Gato, el inicio de la pandilla","$8,000,000",$0,"$4,604,656",$0,21,4
4-Nov-15,Brooklyn,"$11,000,000","$38,322,743","$62,076,141","$38,322,743",28,45
5-Nov-15,The Peanuts Movie,"$99,000,000","$130,178,411","$250,091,610","$130,178,411",4,0
6-Nov-15,Trumbo,"$15,000,000","$7,857,741","$13,300,181","$7,857,741",54,74
11-Nov-15,10 Days in a Madhouse,"$12,000,000","$14,616","$14,616","$14,616",3,0
12-Nov-15,The Night Before,"$25,000,000","$43,035,725","$52,568,099","$43,047,372",1,0
12-Nov-15,Secret in Their Eyes,"$20,000,000","$20,180,155","$32,608,019","$20,180,155",34,26
12-Nov-15,By the Sea,"$20,000,000","$538,460","$3,727,746","$538,460",49,37
12-Nov-15,Love the Coopers,"$18,000,000","$26,302,731","$44,263,413","$26,302,731",3,9
12-Nov-15,Heist,"$8,900,000","$50,136","$3,324,131","$23,510,841",25,10
13-Nov-15,Savva. Serdtse voyna,"$30,000,000",$0,"$5,015,080",$0,2,0
13-Nov-15,The Lady in the Van,"$6,000,000","$10,021,175","$42,320,503","$10,021,175",5,10
18-Nov-15,The Hunger Games: Mockingjay - Part 2,"$160,000,000","$281,723,902","$646,219,954","$281,723,902",57,34
20-Nov-15,Carol,"$11,800,000","$12,711,491","$42,217,114","$12,711,491",18,36
20-Nov-15,Criminal Activities,"$7,000,000",$0,"$386,744",$0,15,7
25-Nov-15,The Good Dinosaur,"$187,500,000","$123,087,120","$333,771,037","$123,087,120",4,0
25-Nov-15,Victor Frankenstein,"$40,000,000","$5,775,076","$31,124,367","$5,775,076",55,61
26-Nov-15,In the Heart of the Sea,"$100,000,000","$25,020,758","$89,693,309","$25,020,758",39,41
27-Nov-15,The Danish Girl,"$15,000,000","$11,114,018","$67,514,963","$11,114,018",10,30
2-Dec-15,Point Break,"$100,000,000","$28,782,481","$126,704,591","$43,218,387",56,23
2-Dec-15,Krampus,"$15,000,000","$42,725,475","$61,788,393","$42,725,475",3,7
3-Dec-15,Chiamatemi Francesco - Il papa della gente,"$15,000,000",$0,"$3,925,769",$0,3,0
3-Dec-15,Under sandet,"$6,000,000","$434,640","$4,959,039",$0,6,7
11-Dec-15,The Big Short,"$28,000,000","$70,259,870","$132,624,681","$70,259,870",51,31
11-Dec-15,American Hero,"$1,000,000",$0,"$107,590",$0,13,15
17-Dec-15,The Ghouls,"$37,000,000","$1,243,810","$259,425,249",$0,9,4
18-Dec-15,Alvin and the Chipmunks: The Road Chip,"$90,000,000","$85,886,987","$249,517,956","$85,886,987",4,0
18-Dec-15,Sisters,"$30,000,000","$87,044,645","$106,030,660","$87,044,645",29,18
18-Dec-15,Skammerens datter,"$7,300,000",$0,"$3,364,513",$0,2,0
24-Dec-15,Joy,"$60,000,000","$56,451,232","$101,134,059","$56,451,232",46,50
24-Dec-15,Concussion,"$35,000,000","$34,531,832","$50,363,790","$34,542,474",46,39
25-Dec-15,The Hateful Eight,"$62,000,000","$54,117,416","$151,813,358","$54,117,416",51,30
30-Dec-15,Snowden,"$50,000,000","$21,587,519","$35,380,918","$21,587,519",6,10
31-Dec-15,Jane Got a Gun,"$25,000,000","$1,513,793","$3,771,345","$1,513,793",28,15
5-Jan-16,Deathgasm,"$200,000",$0,"$14,685",$0,28,27
7-Jan-16,The Forest,"$10,000,000","$26,594,261","$40,749,230","$26,594,261",11,3
8-Jan-16,The Masked Saint,"$3,500,000","$182,695","$182,695","$182,695",28,27
14-Jan-16,Ride Along 2,"$40,000,000","$90,862,685","$124,827,316","$91,221,830",78,46
14-Jan-16,The 5th Wave,"$38,000,000","$34,912,982","$111,336,398","$34,916,787",47,43
14-Jan-16,Norm of the North,"$18,000,000","$17,062,499","$30,535,660","$17,062,499",2,0
15-Jan-16,13 Hours: The Secret Soldiers of Benghazi,"$50,000,000","$52,853,219","$69,411,370",$0,1,0
21-Jan-16,Dirty Grandpa,"$11,500,000","$35,593,113","$105,078,449","$35,593,113",43,24
21-Jan-16,Anomalisa,"$8,000,000","$3,759,286","$5,706,168","$3,759,286",0,2
23-Jan-16,Kung Fu Panda 3,"$140,000,000","$143,528,619","$506,124,167","$143,528,619",4,0
27-Jan-16,Moana,"$150,000,000","$248,757,044","$687,228,908","$248,757,044",4,0
27-Jan-16,The Finest Hours,"$70,000,000","$27,569,558","$49,252,761","$27,569,558",34,41
4-Feb-16,Pride and Prejudice and Zombies,"$28,000,000","$10,907,291","$16,638,300","$10,938,134",61,52
5-Feb-16,Zoolander 2,"$50,000,000","$28,848,693","$55,348,693","$28,848,693",18,29
5-Feb-16,"Hail, Caesar!","$22,000,000","$30,080,225","$64,220,196","$30,498,085",39,22
5-Feb-16,Misconduct,"$11,000,000",$0,"$2,352,511",$0,7,8
8-Feb-16,How to be Single,"$37,000,000","$46,843,513","$100,003,780",$0,0,2
