release date,title,production budget,domestic budget,worldwide gross,domestic gross,negative,positive
31-May-13,Yeh Jawaani Hai Deewani,"$8,300,000","$3,827,466","$50,827,466","$3,827,466",16,30
31-May-13,The East,"$6,500,000","$2,274,649","$3,027,956","$2,301,839",44,32
7-Jun-13,The Internship,"$58,000,000","$44,672,764","$93,672,764","$44,672,764",33,25
12-Jun-13,This is the End,"$32,000,000","$101,470,202","$126,539,117",$0,16,30
14-Jun-13,20 Feet From Stardom,"$1,000,000","$4,946,250","$5,892,466",$0,2,3
19-Jun-13,World War Z,"$190,000,000","$202,706,711","$531,861,650","$202,807,711",70,32
21-Jun-13,Monsters University,"$200,000,000","$268,488,329","$743,455,810","$268,492,764",43,40
26-Jun-13,Despicable Me 2,"$76,000,000","$368,065,385","$975,216,835","$368,065,385",4,0
28-Jun-13,White House Down,"$150,000,000","$73,103,784","$205,440,387","$73,103,784",31,17
28-Jun-13,The Heat,"$43,000,000","$159,581,587","$229,727,774","$159,582,188",2,6
28-Jun-13,Redemption,"$23,000,000","$36,686","$13,593,473","$36,895",1,1
28-Jun-13,Detention of the Dead,"$500,000","$1,778","$1,778","$1,777",30,24
2-Jul-13,The Lone Ranger,"$225,000,000","$89,302,115","$260,002,115","$89,302,115",3,0
3-Jul-13,Kevin Hart: Let Me Explain,"$2,500,000","$32,244,051","$32,327,255","$32,244,051",55,38
5-Jul-13,The Way Way Back,"$5,000,000","$21,502,690","$26,853,810","$21,506,546",31,54
12-Jul-13,Grown Ups 2,"$80,000,000","$133,668,525","$247,023,808","$133,668,525",16,24
17-Jul-13,Turbo,"$135,000,000","$83,028,130","$286,896,578","$83,028,128",9,8
18-Jul-13,Metegol,"$22,000,000",$0,"$34,061,097",$0,1,0
18-Jul-13,The Conjuring,"$20,000,000","$137,400,141","$316,479,150","$137,446,368",2,3
19-Jul-13,R.I.P.D.,"$130,000,000","$33,618,855","$79,076,678","$33,618,855",47,34
19-Jul-13,RED 2,"$84,000,000","$53,262,560","$141,507,355","$53,262,560",50,24
19-Jul-13,The World's End,"$20,000,000","$26,004,851","$47,124,638","$26,004,851",6,3
19-Jul-13,Only God Forgives,"$4,800,000","$775,849","$4,494,560","$779,188",20,45
26-Jul-13,The Wolverine,"$115,000,000","$132,556,852","$416,456,852","$132,556,852",15,2
26-Jul-13,Blue Jasmine,"$18,000,000","$33,404,871","$102,912,961","$33,405,481",4,3
26-Jul-13,Stranded,"$1,900,000",$0,"$285,593",$0,85,38
26-Jul-13,The To Do List,"$1,500,000","$3,491,669","$4,128,828","$3,491,669",59,36
31-Jul-13,The Smurfs 2,"$110,000,000","$71,017,784","$348,547,523","$71,017,784",4,0
1-Aug-13,Snowpiercer,"$40,000,000","$4,563,029","$82,825,956","$4,563,650",17,28
2-Aug-13,2 Guns,"$61,000,000","$75,612,460","$132,493,015","$75,612,460",7,9
2-Aug-13,The Spectacular Now,"$2,500,000","$6,852,971","$6,916,951","$6,854,611",11,18
2-Aug-13,The Canyons,"$250,000","$59,671","$62,375","$56,825",61,41
7-Aug-13,Percy Jackson: Sea of Monsters,"$90,000,000","$68,559,554","$200,859,554","$68,559,554",67,32
9-Aug-13,Elysium,"$120,000,000","$93,050,117","$286,192,091","$93,050,117",47,39
9-Aug-13,Disney Planes,"$50,000,000","$90,282,580","$238,059,569",$0,4,0
16-Aug-13,Paranoia,"$40,000,000","$7,388,654","$16,340,767","$7,388,654",27,20
16-Aug-13,Lee Daniels' The Butler,"$30,000,000","$116,632,095","$177,025,498",$0,54,37
16-Aug-13,Kick-Ass 2,"$28,000,000","$28,795,985","$63,129,909","$28,795,985",73,75
16-Aug-13,Jobs,"$18,000,000","$16,131,410","$43,402,515","$16,131,410",51,43
16-Aug-13,Ain't Them Bodies Saints,"$5,000,000","$391,611","$1,075,009","$396,519",18,19
16-Aug-13,Underdogs,"$2,500,000","$35,017","$1,392,649",$0,9,19
21-Aug-13,The Mortal Instruments: City of Bones,"$60,000,000","$31,165,421","$75,965,567","$31,165,421",31,29
23-Aug-13,The Frozen Ground,"$19,200,000",$0,"$5,617,460",$0,4,5
23-Aug-13,You're Next,"$1,000,000","$18,494,006","$26,887,177","$18,494,006",8,7
23-Aug-13,Drinking Buddies,"$500,000","$343,706","$407,100","$343,341",8,11
23-Aug-13,Short Term 12,"$400,000","$1,013,100","$2,308,535","$1,013,100",1,0
23-Aug-13,Sparrows Dance,"$175,000","$2,602","$2,602","$2,602",1,0
30-Aug-13,Getaway,"$18,000,000","$10,501,938","$11,813,989","$10,501,938",28,16
30-Aug-13,One Direction: This is Us,"$10,000,000","$28,873,374","$68,233,799",$0,14,0
30-Aug-13,No se Aceptan Devoluciones,"$5,000,000","$44,467,206","$100,486,616",$0,16,11
5-Sep-13,Riddick,"$38,000,000","$42,025,135","$94,763,758",$0,8,8
6-Sep-13,Winnie Mandela,"$15,000,000","$61,847","$61,847","$80,634",24,19
13-Sep-13,The Family,"$30,000,000","$36,918,811","$80,588,942","$36,918,811",25,37
13-Sep-13,Insidious Chapter 2,"$5,000,000","$83,586,447","$161,921,515",$0,27,12
13-Sep-13,Plush,"$2,000,000","$3,080","$28,864","$3,080",16,7
